Image_Name,Assessment-1,Assessment-2,Assessment-3
dlf_67_e5_p8.png,id,id,id
dx_52_blackout_e5_p2.png,id,id,id
ox_72_e5_p7.png,id,id,id
dj_55_e5_p3.png,id,id,id
dj_48_e5_p6.png,id,id,id
dlf_97_e5_p3.png,id,id,id
dlf_11_e5_p3.png,id,id,id
dlf_70_e5_p3.png,id,id,id
dj_70_e5_p3.png,id,id,id
sv_25_e5_p3.png,id,id,id
dj_4_e5_p3.png,id,id,id
ox_95_e5_p3.png,ood,ood,ood
dlf_37_e5_p3.png,id,id,id
sv_40_e5_p3.png,id,id,id
dj_1_e5_p3.png,ood,ood,ood
ox_28_e5_p3.png,ood,ood,ood
dj_94_e5_p8.png,ood,ood,ood
dlf_78_e5_p0.png,id,id,id
dlf_88_e5_p3.png,id,id,id
dx_19_occl_e5_p7.png,id,id,id
dlf_47_e5_p3.png,id,id,id
dx_46_blackout_e5_p2.png,id,id,id
sv_93_e5_p3.png,id,id,id
dlf_42_e5_p8.png,id,id,id
dx_48_blackout_e5_p4.png,id,id,id
dlf_79_e5_p3.png,id,id,id
ox_34_e5_p3.png,ood,ood,ood
dlf_63_e5_p3.png,id,id,id
dlf_92_e5_p3.png,id,id,id
sv_14_e5_p3.png,ood,ood,ood
dlf_72_e5_p3.png,id,id,id
dx_47_blackout_e5_p2.png,id,id,id
dj_43_e5_p3.png,id,id,id
sv_59_e5_p3.png,ood,ood,ood
dx_75_light_e5_p8.png,id,id,id
ox_77_e5_p9.png,id,id,id
dx_15_occl_e5_p3.png,id,id,id
dx_69_light_e5_p8.png,ood,ood,ood
dj_80_e5_p3.png,id,id,id
dj_54_e5_p6.png,id,id,id
dlf_33_e5_p7.png,id,id,id
dj_82_e5_p6.png,id,id,id
dx_86_light_e5_p3.png,id,id,id
sv_33_e5_p6.png,ood,ood,ood
dx_40_blackout_e5_p2.png,id,id,id
dx_33_occl_e5_p8.png,id,id,id
dj_76_e5_p3.png,ood,ood,ood
dx_22_occl_e5_p7.png,ood,ood,ood
dj_58_e5_p6.png,id,id,id
dlf_24_e5_p3.png,id,id,id
dj_64_e5_p3.png,id,id,id
dlf_18_e5_p3.png,id,id,id
sv_94_e5_p3.png,id,id,id
dlf_99_e5_p3.png,id,id,id
dlf_39_e5_p3.png,id,id,id
dx_50_blackout_e5_p2.png,id,id,id
dx_17_occl_e5_p3.png,id,id,id
dx_72_light_e5_p8.png,ood,ood,ood
sv_77_e5_p3.png,id,id,id
sv_84_e5_p1.png,id,id,id
dx_89_light_e5_p8.png,id,id,id
dj_81_e5_p3.png,id,id,id
dx_60_blackout_e5_p2.png,id,id,id
dx_44_blackout_e5_p2.png,id,id,id
sv_65_e5_p0.png,ood,ood,ood
ox_85_e5_p3.png,ood,ood,ood
dlf_65_e5_p3.png,id,id,id
dx_43_blackout_e5_p2.png,ood,ood,ood
dlf_57_e5_p8.png,ood,ood,ood
dx_39_blackout_e5_p2.png,id,id,id
sv_73_e5_p6.png,id,id,id
dj_99_e5_p3.png,id,id,id
dlf_64_e5_p2.png,id,id,id
dx_51_blackout_e5_p2.png,id,id,id
sv_95_e5_p3.png,ood,ood,ood
dj_42_e5_p6.png,id,id,id
ox_49_e5_p8.png,id,id,id
ox_70_e5_p3.png,ood,ood,ood
ox_31_e5_p3.png,id,id,id
dlf_81_e5_p6.png,Ood,Ood,Ood
dj_33_e5_p3.png,id,id,id
ox_51_e5_p3.png,id,id,id
dj_15_e5_p8.png,id,id,id
dlf_71_e5_p2.png,id,id,id
dx_94_light_e5_p3.png,id,id,id
dj_46_e5_p9.png,id,id,id
dj_9_e5_p3.png,id,id,id
dj_73_e5_p9.png,id,id,id
ox_92_e5_p3.png,id,id,id
dlf_80_e5_p8.png,id,id,id
sv_99_e5_p1.png,id,id,id
dj_71_e5_p8.png,id,id,id
dj_10_e5_p6.png,id,id,id
ox_39_e5_p8.png,ood,ood,ood
ox_0_e5_p3.png,ood,ood,ood
dx_63_blackout_e5_p2.png,id,id,id
ox_75_e5_p3.png,ood,ood,ood
sv_16_e5_p8.png,id,id,id
ox_8_e5_p3.png,ood,ood,ood
ox_87_e5_p3.png,ood,ood,ood
dlf_66_e5_p8.png,id,id,id
sv_89_e5_p9.png,ood,ood,ood
dlf_83_e5_p3.png,id,id,id
sv_54_e5_p3.png,id,id,id
dx_76_light_e5_p8.png,ood,ood,ood
sv_2_e5_p3.png,ood,ood,ood
sv_22_e5_p4.png,ood,ood,ood
dx_96_light_e5_p8.png,id,id,id
dj_47_e5_p6.png,id,id,id
dj_88_e5_p8.png,id,id,id
ox_80_e5_p3.png,ood,ood,ood
sv_11_e5_p9.png,id,id,id
dx_84_light_e5_p3.png,id,id,id
ox_96_e5_p9.png,id,id,id
dx_25_occl_e5_p3.png,id,id,id
dx_90_light_e5_p8.png,id,id,id
sv_53_e5_p8.png,id,id,id
dlf_29_e5_p3.png,id,id,id
ox_2_e5_p6.png,id,id,id
dlf_34_e5_p3.png,ood,ood,ood
dx_61_blackout_e5_p3.png,id,id,id
dj_11_e5_p3.png,id,id,id
dlf_58_e5_p8.png,id,id,id
dj_44_e5_p3.png,id,id,id
dj_18_e5_p3.png,id,id,id
ox_40_e5_p3.png,ood,ood,ood
ox_74_e5_p3.png,id,id,id
dlf_2_e5_p8.png,id,id,id
sv_69_e5_p3.png,ood,ood,ood
dlf_74_e5_p9.png,id,id,id
dj_5_e5_p4.png,id,id,id
sv_24_e5_p6.png,ood,ood,ood
dlf_15_e5_p8.png,id,id,id
sv_7_e5_p4.png,id,id,id
ox_17_e5_p3.png,ood,ood,ood
dj_0_e5_p8.png,id,id,id
sv_60_e5_p4.png,ood,ood,ood
dj_28_e5_p6.png,id,id,id
sv_3_e5_p9.png,ood,ood,ood
dlf_95_e5_p0.png,id,id,id
dj_78_e5_p3.png,id,id,id
dj_36_e5_p6.png,id,id,id
ox_86_e5_p3.png,ood,ood,ood
sv_49_e5_p6.png,id,id,id
sv_55_e5_p1.png,ood,ood,ood
dlf_59_e5_p3.png,id,id,id
ox_26_e5_p3.png,ood,ood,ood
sv_45_e5_p4.png,id,id,id
dx_8_occl_e5_p3.png,id,id,id
dj_24_e5_p3.png,id,id,id
ox_3_e5_p3.png,id,id,id
dlf_5_e5_p3.png,id,id,id
dx_64_blackout_e5_p2.png,ood,ood,ood
ox_29_e5_p8.png,ood,ood,ood
ox_65_e5_p3.png,id,id,id
dj_61_e5_p8.png,id,id,id
sv_79_e5_p9.png,ood,ood,ood
sv_19_e5_p7.png,id,id,id
sv_47_e5_p1.png,id,id,id
ox_64_e5_p8.png,ood,ood,ood
dx_71_light_e5_p3.png,id,id,id
dlf_48_e5_p7.png,id,id,id
sv_81_e5_p3.png,ood,ood,ood
dlf_54_e5_p3.png,id,id,id
dlf_45_e5_p8.png,id,id,id
dlf_76_e5_p3.png,id,id,id
dlf_49_e5_p3.png,id,id,id
sv_52_e5_p9.png,ood,ood,ood
dlf_14_e5_p3.png,id,id,id
ox_24_e5_p9.png,ood,ood,ood
ox_6_e5_p3.png,ood,ood,ood
dj_39_e5_p6.png,id,id,id
dj_87_e5_p4.png,id,id,id
dx_10_occl_e5_p3.png,id,id,id
dlf_17_e5_p3.png,id,id,id
dlf_3_e5_p6.png,id,id,id
dj_98_e5_p3.png,id,id,id
dj_22_e5_p6.png,id,id,id
dx_0_occl_e5_p3.png,id,id,id
dj_68_e5_p3.png,ood,ood,ood
ox_5_e5_p9.png,ood,ood,ood
ox_52_e5_p9.png,ood,ood,ood
dj_38_e5_p3.png,id,id,id
dj_75_e5_p4.png,id,id,id
dx_29_occl_e5_p3.png,ood,ood,ood
dj_17_e5_p2.png,id,id,id
dlf_43_e5_p3.png,id,id,id
dx_98_light_e5_p8.png,id,id,id
dlf_84_e5_p9.png,id,id,id
sv_32_e5_p3.png,ood,ood,ood
sv_58_e5_p3.png,ood,ood,ood
sv_75_e5_p3.png,ood,ood,ood
sv_41_e5_p1.png,id,id,id
